Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2005-05-09,9,5,2005,"1,300","1,384","1,557",953,"1,815","3,414","1,978","1,501","1,419","1,173","2,217","1,927","1,759","5,037","4,132","7,200","3,380","4,118","1,951","2,062"
2005-05-25,25,5,2005,"1,463","1,232","1,499","1,272","1,691","3,502","2,163","1,803","1,601","1,147","2,282","1,496","1,568","3,093","3,937","7,142","3,465","3,921","1,733","2,246"
2005-06-10,10,6,2005,"1,201",982,"1,129",720,"1,692","4,178","2,373","1,538","1,558","1,025","1,453","1,552","1,553","4,201","3,620","2,756","2,408","3,459","1,690","1,967"
2005-06-26,26,6,2005,"1,125","1,018",784,791,"1,496","1,856","2,433","1,011","1,247",983,"1,359","1,321","1,399","3,499","2,638","3,149","2,511","2,851","1,361","1,872"
2005-07-12,12,7,2005,"1,024",937,989,625,"1,347","1,960","2,273","1,127","1,107",873,"1,373","1,258","1,273","3,435","3,294","2,880","2,639","2,663","1,287","1,572"
2005-07-28,28,7,2005,"1,034",383,"1,050",357,"1,258","2,784","1,919","1,290",340,842,626,"1,368","1,292","4,235","4,172","2,714","2,530","2,580","1,443","1,462"
2005-08-13,13,8,2005,966,876,938,650,"1,302","1,763","1,762","1,085","1,145",905,"1,344","1,337","1,215","2,591","2,807","2,261","2,290","2,199","1,337","1,605"
2005-08-29,29,8,2005,"1,136",893,"1,025",684,"1,261","1,883","2,016","1,070","1,146",919,"1,279","1,231","1,266","2,720","2,640","2,425","2,433","2,221","1,340","1,709"
2005-09-14,14,9,2005,963,942,980,730,"1,201","1,690","1,612","1,065","1,098",904,"1,183","1,191","1,132","2,332","2,413","3,203","2,302","1,982","1,174","1,573"
2005-09-30,30,9,2005,933,830,905,655,"1,180","1,471","1,900",941,"1,062",848,"1,184","1,120","1,103","2,036","1,832","1,340","2,085","2,045","1,368","1,662"
2005-10-16,16,10,2005,906,877,956,705,"1,152","1,884","1,569","1,047",937,866,"1,129","1,097","1,154","2,109","2,060","1,755","1,971","1,988","1,207","1,542"
2005-11-01,1,11,2005,"1,344","1,096","1,655",696,"1,443","2,118","2,069","1,498","1,009",740,"1,583","1,038","1,265","2,859","2,774","2,949","1,577","1,977","1,204","2,314"
2005-11-17,17,11,2005,"1,234","1,246","1,465","1,020","1,516","2,208","2,822","1,263","1,117",450,"1,961","1,668","1,419","3,224","2,394","2,660","2,549","2,483","1,283","1,746"
2005-12-03,3,12,2005,"1,064",919,"1,265",731,"1,236","1,577","2,108","1,198",994,798,"1,428","1,355","1,280","5,226","3,496","2,324","2,410","2,659","1,207","1,605"
